Project,Language,Identifier Type,Identifier Name,Length
Project,Language,Identifier Type,Identifier Name,len
human-survey,Python,variable,output_dir,10
human-survey,JavaScript,function,doStuff,7
human-survey,Python,variable,x,1
human-survey,Java,class,VersionManager,14
human-survey,Python,function,render_templates,16
human-survey,Python,variable,_,1
human-survey,Python,function,validate_user_input,19
human-survey,Java,class,DummyBuildSrc,13
human-survey,Python,variable,tmp,3
human-survey,Python,function,maybe_cythonize,15
human-survey,Python,variable,is_debug_mode,13
human-survey,Java,class,Factorize,9
human-survey,Python,variable,"i, j, k",7
human-survey,Java,function,get,3
human-survey,Java,class,Hashing,7
human-survey,Python,function,write_version_info,18
human-survey,Python,function,process_tempita,15
human-survey,Python,variable,ext_data,8
human-survey,Python,function,run,3
human-survey,Python,variable,pxifile,7
human-survey,Java,class,InputValidator,14
human-survey,Java,function,testIsInitialized,17
human-survey,Python,variable,d,1
human-survey,Python,function,calculate_tax,13
human-survey,Java,class,LazyInitializerTestImpl,23
human-survey,Python,function,clean_me,8
human-survey,Python,variable,macros,6
human-survey,Python,function,parse,5
human-survey,Java,class,MemoizerComputableTest,22
human-survey,Python,function,setup_cache,11
human-survey,Python,function,linetrace,9
human-survey,Python,variable,parsed,6
human-survey,Python,function,f,1
human-survey,Python,variable,user_data,9
human-survey,C#,class,CleanCommand,12
human-survey,Python,function,initialize,10
human-survey,Python,variable,version_info,12
human-survey,Python,function,db_query,8
human-survey,Python,class,ConfigParser,12
human-survey,Python,function,handle,6
synthetic-bad,JavaScript,function,F,1
synthetic-bad,Python,function,BWVNNYXZ,8
synthetic-bad,Python,function,obj,3
synthetic-bad,Java,class,HDmEOWiKyiIvVA,14
synthetic-bad,JavaScript,variable,N,1
synthetic-bad,Python,function,QNKDTGyxiNQsiuz,15
synthetic-bad,C#,class,SANCVYNIBIQ,11
synthetic-bad,Java,function,stuff,5
synthetic-bad,JavaScript,function,xxczx,5
synthetic-bad,Java,variable,one,3
synthetic-bad,Java,class,tzm,3
synthetic-bad,JavaScript,class,nesid,5
synthetic-bad,Python,variable,JNHBVIX,7
synthetic-bad,Python,function,aab,3
synthetic-bad,Java,variable,TNOEM,5
synthetic-bad,JavaScript,variable,e315o4,6
synthetic-bad,JavaScript,variable,03ie14o4,8
synthetic-bad,Python,function,map,3
synthetic-bad,C#,function,5o3i55i3,8
synthetic-bad,JavaScript,variable,I,1
synthetic-bad,C#,variable,obj,3
synthetic-bad,Python,variable,czjuxltynj,10
synthetic-bad,Python,class,40a13,5
synthetic-bad,Python,function,hf,2
synthetic-bad,Java,variable,s3a15oai,8
synthetic-bad,JavaScript,class,set,3
synthetic-bad,C#,variable,AJPXHTGWK,9
synthetic-bad,Python,variable,LQNULRQDXXAC,12
synthetic-bad,Python,variable,ek,2
synthetic-bad,Python,function,cqdn,4
synthetic-bad,C#,function,ybb,3
synthetic-bad,JavaScript,variable,NzplUE,6
synthetic-bad,Python,function,cxcza,5
synthetic-bad,C#,class,obj,3
synthetic-bad,Java,variable,RES,3
synthetic-bad,JavaScript,variable,cbbyzb,6
synthetic-bad,JavaScript,class,v,1
synthetic-bad,JavaScript,class,bayya,5
synthetic-bad,Java,function,TMFPLWIKUTP,11
synthetic-bad,C#,variable,set,3
synthetic-bad,Java,variable,list,4
synthetic-bad,Java,function,cahfPHQXHkyBem,14
synthetic-bad,C#,class,iri,3
synthetic-bad,Python,class,yycc,4
synthetic-bad,Java,class,stuff,5
synthetic-bad,JavaScript,function,ref,3
synthetic-bad,JavaScript,function,DC,2
synthetic-bad,JavaScript,function,yacz,4
synthetic-bad,Java,class,a30,3
synthetic-bad,C#,class,sa3esae,7
synthetic-bad,JavaScript,class,v,1
synthetic-bad,C#,function,SLW,3
synthetic-bad,Java,variable,ppSYoM,6
synthetic-bad,C#,function,zabcaz,6
synthetic-bad,JavaScript,function,zay,3
synthetic-bad,Python,function,VpPLeOq,7
synthetic-bad,C#,class,temp,4
synthetic-bad,Python,variable,tmp,3
synthetic-bad,JavaScript,class,zhwrx,5
synthetic-bad,Java,variable,string,6
synthetic-bad,Python,class,element,7
synthetic-bad,JavaScript,class,a,1
synthetic-bad,C#,class,xy,2
synthetic-bad,C#,function,hoj,3
synthetic-bad,Java,variable,XG,2
synthetic-bad,JavaScript,function,count,5
synthetic-bad,Java,class,CB,2
synthetic-bad,Java,class,info,4
synthetic-bad,Python,variable,kdzru,5
synthetic-bad,C#,variable,S,1
synthetic-bad,Java,variable,obj,3
synthetic-bad,JavaScript,class,zbx,3
synthetic-bad,Python,function,kn,2
synthetic-bad,C#,variable,byay,4
synthetic-bad,Python,class,ipvngwc,7
synthetic-bad,C#,variable,i5i510,6
synthetic-bad,Java,function,i450145,7
synthetic-bad,Python,variable,e,1
synthetic-bad,C#,variable,data,4
synthetic-bad,Java,variable,GJDcYHhaFgPS,12
synthetic-bad,C#,class,node1,5
synthetic-bad,JavaScript,class,H,1
synthetic-bad,C#,function,temp1,5
synthetic-bad,Python,class,ymmfy,5
synthetic-bad,JavaScript,function,main,4
synthetic-bad,Java,variable,emupGiYEcv,10
synthetic-bad,Java,variable,info,4
